Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C22, C26, C7",0402,5,0.1 uF,
"C10, C11, C12, C14, C15, C21, C27, C28, C29, C30, C31, C32",0805,12,10 uF,
C16,C_Rect_L7.0mm_W3.5mm_P5.00mm,1,220 uF 35V,
"C18, C5, C8, C9",0603,4,1 uF,
C19,0402,1,47 nF,
"C2, C23, C24, C25",0402,4,56 pF,
"C20, C6",0805,2,22 uF,
C3,0805,1,3.3 uF,
C4,1210,1,47 uF,
D1,D_SOD-123,1,1N5819HW,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"FID1, FID2, FID3, FID4, FID5, FID6",Fiducial_0.75mm_Mask1.5mm,6,Fiducial,
IC1,QFN50P500X700X100-41N-D,1,DRV8316RRGFR,
IC2,ESP32S3MINI1N8,1,ESP32-S3-MINI-1-N8,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J2,"TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",1,Screw_Terminal_01x03,
J3,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Screw_Terminal_01x02,
J4,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,JST_04,
J5,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,JST_06,
L1,VLS3015,1,10 uH,
PS1,SOT95P280X110-6N,1,TPS54202DDCR,
"R1, R3",0402,2,100kR,
"R10, R11, R12, R14, R19, R20",0402,6,0R,
"R13, R15, R16, R17, R24, R25, R26, R33, R4, R5, R6",0402,11,5.1kR,
R18,0805,1,22 R,
R2,0402,1,22.1kR,
"R21, R22, R23, R7, R8, R9",0402,6,1kR,
"R27, R28, R29, R30, R31, R32",0402,6,47kR,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,Boot,
SW2,PinHeader_1x02_P2.54mm_Vertical,1,RST,
"U1, U4",SOT-23-6,2,USBLC6-2SC6,
U2,SOT-23,1,MCP9700x-HTT,
U3,SOT-23-6,1,USBLC6-4SC6,
